"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
363970.164,361803.886,116.402,13.000,1.000,1.000,1.000,0.000,2.000,0.000,0.000,3.000,340362053.145,16448.000,23387.000,16962.000
364093.041,361663.036,116.950,21.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,340362035.064,16705.000,24929.000,14906.000
364093.084,361663.031,117.020,23.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,340362035.117,9509.000,18247.000,8224.000
364093.082,361663.073,117.057,44.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,340362034.859,8481.000,15677.000,7196.000
364093.063,361663.143,117.048,22.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.034,14392.000,22102.000,10537.000
364093.080,361663.196,117.096,14.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.958,9766.000,18504.000,8224.000
364093.441,361662.802,117.004,23.000,1.000,1.000,0.000,0.000,2.000,0.000,0.000,2.000,340362035.041,13621.000,25443.000,12850.000
364093.136,361663.003,117.098,28.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,340362035.034,15934.000,26471.000,14649.000
364093.124,361663.070,117.109,27.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.965,9509.000,19018.000,8481.000
364093.133,361663.048,117.110,21.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.866,8995.000,16191.000,7710.000
364093.120,361663.100,117.112,25.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.072,8995.000,18247.000,7710.000
364093.151,361663.089,117.141,54.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.110,7710.000,16191.000,5654.000
364093.160,361663.050,117.139,44.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.980,8995.000,18761.000,8224.000
364093.196,361663.005,117.156,19.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.988,11308.000,22873.000,11822.000
364093.178,361663.038,117.154,23.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.912,9252.000,18761.000,8224.000
364093.157,361663.082,117.145,47.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.942,7710.000,16191.000,5654.000
364093.180,361663.099,117.168,24.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.882,8995.000,18761.000,8224.000
364093.252,361662.992,117.115,47.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,2.000,340362035.110,10794.000,21331.000,10537.000
364093.249,361662.998,117.187,21.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362034.889,12850.000,20560.000,9766.000
364093.240,361663.025,117.187,24.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.920,13107.000,23387.000,12079.000
364093.268,361663.046,117.207,29.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362035.125,11051.000,22102.000,10794.000
364093.258,361663.081,117.202,14.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.117,11051.000,22102.000,10794.000
364093.111,361663.108,117.104,23.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.087,9509.000,18247.000,8224.000
364093.136,361663.111,117.136,47.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.889,10280.000,20046.000,9509.000
364093.172,361663.143,117.171,23.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362035.011,10280.000,20046.000,9509.000
364093.164,361663.209,117.170,27.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,2.000,340362034.935,10280.000,20046.000,9509.000
364093.527,361662.997,117.179,23.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362035.071,12593.000,23901.000,11565.000
364093.659,361662.958,117.106,25.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,2.000,340362035.071,17219.000,29298.000,16191.000
364095.074,361662.570,117.240,21.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,2.000,340362035.163,11565.000,25186.000,12593.000
364095.606,361662.367,117.157,22.000,1.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,340362035.193,14906.000,27499.000,14392.000
364095.437,361662.393,117.247,25.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,2.000,340362035.170,18247.000,30840.000,16962.000
364095.547,361662.301,117.258,28.000,1.000,1.000,1.000,0.000,3.000,0.000,0.000,2.000,340362035.170,15163.000,24929.000,12336.000
364095.269,361662.642,117.236,28.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362035.178,16705.000,27499.000,15163.000
364095.364,361662.576,117.303,22.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362035.170,13621.000,24415.000,11565.000
364095.348,361662.594,117.314,23.000,1.000,1.000,1.000,0.000,10.000,0.000,0.000,2.000,340362035.201,13878.000,23387.000,11051.000
